
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
005: 32768 4.97
006: 32768 4.96
007: 32768 4.99
008: 32768 4.98
009: 32768 4.96
010: 32768 4.97
011: 32768 4.95
012: 32768 4.97
013: 32768 4.96
014: 32768 4.96
015: 32768 4.96
016: 32768 4.96
017: 32768 4.96
018: 32768 4.96
019: 32768 4.96
020: 32768 4.96
021: 32768 4.96
022: 32768 4.97
023: 32768 4.97
024: 32768 5.87
025: 32768 5.87
026: 32768 5.88
027: 32768 5.87
028: 32768 5.87
029: 32768 5.87
030: 32768 5.89
031: 32768 5.88
032: 32768 5.88
033: 32768 5.87
034: 32768 5.87
035: 32768 5.89
036: 32768 5.88
037: 32768 5.89
038: 32768 5.86
039: 32768 5.87
040: 32768 5.87
041: 32768 5.88
042: 32768 5.87
043: 32768 5.88
044: 32768 5.87
045: 32768 5.87
32768                   5.44
000: 65536 11.73
001: 65536 7.44
002: 65536 7.43
003: 65536 7.41
004: 65536 7.43
005: 65536 7.43
006: 65536 7.41
007: 65536 7.43
008: 65536 7.40
009: 65536 7.40
010: 65536 7.42
011: 65536 7.40
012: 65536 7.42
013: 65536 7.44
014: 65536 7.40
015: 65536 7.41
016: 65536 7.40
017: 65536 7.41
018: 65536 7.42
019: 65536 7.43
020: 65536 7.39
021: 65536 7.42
022: 65536 7.43
023: 65536 7.40
024: 65536 10.63
025: 65536 10.62
026: 65536 10.62
027: 65536 10.62
028: 65536 10.66
029: 65536 10.62
030: 65536 10.64
031: 65536 10.63
032: 65536 10.62
033: 65536 10.63
034: 65536 10.62
035: 65536 10.66
036: 65536 10.62
037: 65536 10.64
038: 65536 10.61
039: 65536 10.62
040: 65536 10.62
041: 65536 10.61
042: 65536 10.61
043: 65536 10.62
044: 65536 10.62
045: 65536 10.63
65536                   9.05
000: 131072 21.54
001: 131072 12.52
002: 131072 12.51
003: 131072 12.52
004: 131072 12.52
005: 131072 12.53
006: 131072 12.51
007: 131072 12.54
008: 131072 12.52
009: 131072 12.51
010: 131072 12.51
011: 131072 12.51
012: 131072 12.51
013: 131072 12.52
014: 131072 12.52
015: 131072 12.52
016: 131072 12.52
017: 131072 12.52
018: 131072 12.52
019: 131072 12.53
020: 131072 12.52
021: 131072 12.53
022: 131072 12.51
023: 131072 12.53
024: 131072 20.41
025: 131072 20.40
026: 131072 20.38
027: 131072 20.40
028: 131072 20.38
029: 131072 20.38
030: 131072 20.40
031: 131072 20.45
032: 131072 20.37
033: 131072 20.38
034: 131072 20.38
035: 131072 20.41
036: 131072 20.38
037: 131072 20.41
038: 131072 20.40
039: 131072 20.38
040: 131072 20.38
041: 131072 20.37
042: 131072 20.37
043: 131072 20.41
044: 131072 20.38
045: 131072 20.40
131072                 16.48
000: 262144 40.65
001: 262144 23.98
002: 262144 24.00
003: 262144 23.98
004: 262144 23.96
005: 262144 24.00
006: 262144 23.97
007: 262144 23.99
008: 262144 23.98
009: 262144 23.97
010: 262144 23.97
011: 262144 23.97
012: 262144 23.97
013: 262144 23.98
014: 262144 23.97
015: 262144 23.98
016: 262144 23.98
017: 262144 23.97
018: 262144 23.98
019: 262144 23.97
020: 262144 23.96
021: 262144 23.97
022: 262144 23.98
023: 262144 23.98
024: 262144 39.49
025: 262144 39.50
026: 262144 39.51
027: 262144 39.50
