
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
005: 8 0.17
006: 8 0.18
007: 8 0.17
008: 8 0.17
009: 8 0.17
010: 8 0.18
011: 8 0.18
012: 8 0.17
013: 8 0.17
014: 8 0.17
015: 8 0.18
016: 8 0.17
017: 8 0.18
018: 8 0.17
019: 8 0.17
020: 8 0.17
021: 8 0.17
8                       0.20
000: 16 0.88
001: 16 0.17
002: 16 0.17
003: 16 0.17
004: 16 0.17
005: 16 0.17
006: 16 0.18
007: 16 0.17
008: 16 0.17
009: 16 0.17
010: 16 0.18
011: 16 0.17
012: 16 0.17
013: 16 0.17
014: 16 0.17
015: 16 0.18
016: 16 0.17
017: 16 0.17
018: 16 0.17
019: 16 0.17
020: 16 0.17
021: 16 0.17
16                      0.20
000: 32 0.94
001: 32 0.19
002: 32 0.18
003: 32 0.17
004: 32 0.18
005: 32 0.18
006: 32 0.18
007: 32 0.18
008: 32 0.18
009: 32 0.18
010: 32 0.18
011: 32 0.18
012: 32 0.18
013: 32 0.18
014: 32 0.18
015: 32 0.18
016: 32 0.18
017: 32 0.18
018: 32 0.19
019: 32 0.18
020: 32 0.17
021: 32 0.18
32                      0.21
000: 64 0.89
001: 64 0.19
002: 64 0.17
003: 64 0.18
004: 64 0.18
005: 64 0.18
006: 64 0.18
007: 64 0.18
008: 64 0.17
009: 64 0.18
010: 64 0.18
011: 64 0.19
012: 64 0.18
013: 64 0.19
014: 64 0.18
015: 64 0.19
016: 64 0.18
017: 64 0.18
018: 64 0.19
019: 64 0.19
020: 64 0.18
021: 64 0.18
64                      0.21
000: 128 0.89
001: 128 0.20
002: 128 0.19
003: 128 0.20
004: 128 0.20
005: 128 0.20
006: 128 0.20
007: 128 0.20
008: 128 0.20
009: 128 0.21
010: 128 0.20
011: 128 0.20
012: 128 0.20
013: 128 0.20
014: 128 0.19
015: 128 0.20
016: 128 0.20
017: 128 0.20
018: 128 0.20
019: 128 0.20
020: 128 0.19
021: 128 0.20
128                     0.23
000: 256 0.92
001: 256 0.25
002: 256 0.24
003: 256 0.24
004: 256 0.23
005: 256 0.24
006: 256 0.25
007: 256 0.24
008: 256 0.24
009: 256 0.24
010: 256 0.24
011: 256 0.24
012: 256 0.24
013: 256 0.24
014: 256 0.24
015: 256 0.24
016: 256 0.24
017: 256 0.24
